date,description,amount,type,category
2 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
3 Mar 2025,Savings Vault topup,2.0,expense,Savings
3 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
4 Mar 2025,Savings Vault topup,2.0,expense,Savings
4 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
5 Mar 2025,Savings Vault topup,2.0,expense,Savings
5 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
6 Mar 2025,Savings Vault topup,2.0,expense,Savings
6 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
7 Mar 2025,Savings Vault topup,2.0,expense,Savings
7 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
8 Mar 2025,Savings Vault topup,2.0,expense,Savings
8 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
9 Mar 2025,Savings Vault topup,2.0,expense,Savings
9 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
10 Mar 2025,Savings Vault topup,2.0,expense,Savings
10 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
11 Mar 2025,Savings Vault topup,2.0,expense,Savings
11 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
12 Mar 2025,Savings Vault topup,2.0,expense,Savings
12 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
15 Mar 2025,Savings Vault topup,2.0,expense,Savings
15 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
16 Mar 2025,Savings Vault topup,2.0,expense,Savings
16 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
21 Mar 2025,Savings Vault topup,2.0,expense,Savings
21 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
22 Mar 2025,Savings Vault topup,2.0,expense,Savings
22 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
23 Mar 2025,Savings Vault topup,2.0,expense,Savings
23 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
24 Mar 2025,Savings Vault topup,2.0,expense,Savings
24 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
25 Mar 2025,Savings Vault topup,2.0,expense,Savings
25 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
26 Mar 2025,Savings Vault topup,2.0,expense,Savings
26 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
27 Mar 2025,Savings Vault topup,2.0,expense,Savings
27 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
29 Mar 2025,Savings Vault topup,2.0,expense,Savings
29 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
30 Mar 2025,Savings Vault topup,2.0,expense,Savings
30 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
31 Mar 2025,Savings Vault topup,2.0,expense,Savings
31 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
1 Apr 2025,Savings Vault topup,2.0,expense,Savings
1 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
2 Apr 2025,Savings Vault topup,2.0,expense,Savings
2 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
3 Apr 2025,Savings Vault topup,2.0,expense,Savings
3 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
4 Apr 2025,Savings Vault topup,2.0,expense,Savings
4 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
5 Apr 2025,Savings Vault topup,2.0,expense,Savings
5 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
6 Apr 2025,Savings Vault topup,2.0,expense,Savings
6 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
7 Apr 2025,Savings Vault topup,2.0,expense,Savings
7 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
8 Apr 2025,Savings Vault topup,2.0,expense,Savings
8 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
9 Apr 2025,Savings Vault topup,2.0,expense,Savings
9 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
10 Apr 2025,Savings Vault topup,2.0,expense,Savings
10 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
11 Apr 2025,Savings Vault topup,2.0,expense,Savings
11 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
12 Apr 2025,Savings Vault topup,2.0,expense,Savings
12 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
13 Apr 2025,Savings Vault topup,2.0,expense,Savings
13 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
14 Apr 2025,Savings Vault topup,2.0,expense,Savings
14 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
15 Apr 2025,Savings Vault topup,2.0,expense,Savings
15 Apr 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
15 Apr 2025,Savings vault withdrawal from prefunding wallet,280.0,income,Savings
15 Apr 2025,From Flexible Cash Funds,280.0,income,Transfer
16 Apr 2025,Savings Vault topup,2.0,expense,Savings
